2013-08-29 10:27:33	127.0.0.1	usr8FBA
2013-08-29 10:53:01	127.0.0.1	usrDDAD
2013-08-29 10:56:54	127.0.0.1	usr6DEE
2013-09-11 14:43:32	127.0.0.1	usr313A
2013-09-11 16:02:00	127.0.0.1	usr8F4
2013-09-11 16:02:20	127.0.0.1	usr54A4
2013-09-13 17:36:31	127.0.0.1	usr10EE
2013-09-14 16:24:31	127.0.0.1	usr13
2013-09-14 16:35:58	127.0.0.1	usr28
2013-09-14 16:36:28	127.0.0.1	usr2D
2013-09-14 16:55:30	127.0.0.1	usr32
2013-09-14 16:56:19	127.0.0.1	usr37
2013-09-14 16:57:01	127.0.0.1	usr3C
2013-09-14 16:57:29	127.0.0.1	usr40
2013-09-16 11:44:04	127.0.0.1	usr9F0D
2013-09-16 12:29:22	127.0.0.1	usr18C2
2013-09-16 13:45:58	127.0.0.1	usr3AA7
2013-09-16 16:57:26	127.0.0.1	usr8501
2013-09-16 17:13:55	127.0.0.1	usr9C13
2013-09-16 18:35:42	127.0.0.1	usr7C1C
2013-09-16 18:44:48	127.0.0.1	usrD1FA
